minHourly,maxHourly,minSalary,maxSalary,workHours,companyName,experience,Title,KeyWords,link
33,,68640,,40,Vielearn Edutainment Inc.,Experience an asset,Web developer,"['database', 'code', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/37118368?source=searchresults
33,,60060,,35,UNI-ONE FOOD GROUP INC.,1 year to less than 2 years,Web site developer,"['database', 'code', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/36957474?source=searchresults
33,,51480,,30,2793415 ONTARIO LTD,2 years to less than 3 years,Web developer,"['database', 'code', 'Java', 'CSS', 'HTML', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/36780350?source=searchresults
35,,72800,,40,Zenith System Solutions Inc.,3 years to less than 5 years,Web developer,"['database', 'code', 'Java', 'C#', 'CSS', 'HTML', 'software', 'test', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/36989309?source=searchresults
35.8974358974359,48.4615384615385,70000,94500,37.5,Entrust Limited,2 years to less than 3 years,software developer,"['code', 'Java', 'HTML', 'software', 'test', 'SQL', 'JS', 'engineer', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37315023?source=searchresults
37.5,,78000,,40,DISAPPEARS.COM HOLDINGS (CANADA) LTD.,3 years to less than 5 years,Web developer,"['database', 'code', 'Java', 'CSS', 'HTML', 'software', 'test', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/37062010?source=searchresults
38.4615384615385,,80000,,40,PARTS AVATAR INVESTMENTS INC,3 years to less than 5 years,software developer,"['code', 'Java', 'CSS', 'HTML', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37277449?source=searchresults
39.83,,72490.6,,35,Super GeoAI Technology Inc.,1 year to less than 2 years,computer programmer,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/36880234?source=searchresults
40,50,72800,91000,35,Catalx Management Ltd,Experience an asset,software developer,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37305618?source=searchresults
40,55,62400,85800,30,YYOUNG WATER LTD,1 year to less than 2 years,Web developer,"['database', 'code', 'Java', 'C++', 'C#', 'HTML', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/37278241?source=searchresults
40,,67600,,32.5,Q2Hire Consulting Inc,1 year to less than 2 years,programmer analyst,"['code', 'Java', 'C#', 'CSS', 'HTML', 'software', 'test', 'SQL', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/36955228?source=searchresults
41,,85280,,40,MAXVISION SOLUTIONS INC.,2 years to less than 3 years,software developer,"['code', 'Java', 'C++', 'CSS', 'HTML', 'software', 'test', 'SQL', 'develop', 'Object-Oriented', 'programming']",https://www.jobbank.gc.ca/jobsearch/jobposting/36991788?source=searchresults
42,,76440,,35,Geek Holdings Inc.,1 year to less than 2 years,software developer,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37312190?source=searchresults
42,46,65520,71760,30,Reuzes Marketplace Corp.,3 years to less than 5 years,software developer,"['code', 'Java', 'C++', 'C#', 'HTML', 'software', 'test', 'SQL', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37298221?source=searchresults
43.2692307692308,,90000,,40,V9 Consulting Services Incorporated,3 years to less than 5 years,computer application programmer,"['code', 'Java', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37282715?source=searchresults
43.3,,67548,,30,Grape Works,1 year to less than 2 years,computer programmer,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37260592?source=searchresults
45,,87750,,37.5,Fintelics Technology Inc,2 years to less than 3 years,computer programmer,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/36981128?source=searchresults
45.6730769230769,,95000,,40,Sryas Inc.,3 years to less than 5 years,software developer,"['code', 'Java', 'CSS', 'HTML', 'software', 'test', 'SQL', 'develop', 'Object-Oriented', 'programming']",https://www.jobbank.gc.ca/jobsearch/jobposting/37123979?source=searchresults
46.1538461538462,62.2115384615385,96000,129400,40,Groq Canada,1 year to less than 2 years,"engineer, software","['C++', 'software', 'test', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/37137495?source=searchresults
48,,99840,,40,ShoreWise Consulting LLC,3 years to less than 5 years,software engineer,"['Git', 'Java', 'C++', 'C#', 'CSS', 'software', 'test', 'SQL', 'JS', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/36757108?source=searchresults
50,,109200,,42,DEW SOFTWARE Canada Inc.,3 years to less than 5 years,systems engineer - software,"['software', 'test', 'script', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/37138235?source=searchresults
50.2,,78312,,30,Info Matics,3 years to less than 5 years,software design engineer,"['software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37304354?source=searchresults
52,,101400,,37.5,Quad Tech Solutions Inc.,1 year to less than 2 years,software engineer,"['Java', 'C++', 'HTML', 'software', 'test', 'SQL', 'develop', 'Object-Oriented', 'programming', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/37218878?source=searchresults
,,,,,,,,,
36.6218240753725,43.9897807165952,70540.5027027027,86360,37.1689189189189,,,,,
,,,,,,,,,
,,,,,,,,,
40.3058023959838,,78450.2513513514,,,,,,,
